repo_name,owner,repo_name_short,language,description,html_url,norm_openrank,norm_star_fork_avg,norm_activity,openrank_slope,activity_volatility,star_growth_rate,ecosystem_correlation,contributor_strength,semantic_similarity,basic_strength_score,temporal_dynamic_score,relationship_enhancement_score,final_priority_score
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",https://github.com/freeCodeCamp/freeCodeCamp,9.58,9.62,7.71,9.58,0.29,9.58,7.93,0.29,9.58,9.22,6.79,5.97,7.56
sindresorhus/awesome,sindresorhus,awesome,0,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,9.41,9.26,7.19,9.41,0.01,9.41,9.03,0.01,9.41,8.92,6.59,6.4,7.47
codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,10.0,10.0,8.89,10.0,0.0,10.0,2.51,0.0,10.0,9.78,7.0,3.25,7.18
public-apis/public-apis,public-apis,public-apis,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,8.58,8.68,8.68,8.58,0.03,8.58,8.82,0.03,8.58,8.63,6.01,6.13,7.09
EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,8.36,8.96,7.55,8.36,0.07,8.36,8.96,0.07,8.36,8.38,5.87,6.18,6.95
kamranahmedse/developer-roadmap,kamranahmedse,developer-roadmap,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,7.63,7.85,8.51,7.63,0.05,7.63,9.71,0.05,7.63,7.87,5.35,6.4,6.62
jwasham/coding-interview-university,jwasham,coding-interview-university,0,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,7.38,8.39,9.27,7.38,0.02,7.38,6.36,0.02,7.38,8.06,5.17,4.66,6.2
donnemartin/system-design-primer,donnemartin,system-design-primer,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,7.29,7.75,8.54,7.29,0.0,7.29,2.38,0.0,7.29,7.68,5.11,2.65,5.52
996icu/996.ICU,996icu,996.ICU,0,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,6.05,5.95,7.26,6.05,0.02,6.05,8.2,0.02,6.05,6.26,4.24,5.32,5.32
vinta/awesome-python,vinta,awesome-python,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,6.09,6.12,7.19,6.09,0.01,6.09,7.7,0.01,6.09,6.32,4.27,5.07,5.29
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,0,A list of Free Software network services and web applications which can be hosted on your own servers,https://github.com/awesome-selfhosted/awesome-selfhosted,5.87,5.61,7.78,5.87,0.05,5.87,8.26,0.05,5.87,6.18,4.12,5.32,5.24
torvalds/linux,torvalds,linux,C,Linux kernel source tree,https://github.com/torvalds/linux,4.68,5.48,4.72,4.68,10.0,4.68,0.0,10.0,4.68,4.93,6.28,3.94,5.15
facebook/react,facebook,react,JavaScript,The library for web and native user interfaces.,https://github.com/facebook/react,5.32,5.88,8.07,5.32,0.15,5.32,8.53,0.15,5.32,6.04,3.77,5.37,5.08
TheAlgorithms/Python,TheAlgorithms,Python,Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,4.76,5.36,7.1,4.76,0.03,4.76,9.38,0.03,4.76,5.41,3.34,5.65,4.75
tensorflow/tensorflow,tensorflow,tensorflow,C++,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,4.25,5.4,7.74,4.25,1.34,4.25,8.51,1.34,4.25,5.29,3.38,5.51,4.67
vuejs/vue,vuejs,vue,TypeScript,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",https://github.com/vuejs/vue,4.61,4.9,7.55,4.61,0.03,4.61,7.33,0.03,4.61,5.29,3.24,4.6,4.4
practical-tutorials/project-based-learning,practical-tutorials,project-based-learning,0,Curated list of project-based tutorials,https://github.com/practical-tutorials/project-based-learning,5.6,5.79,7.64,5.6,0.0,5.6,2.07,0.0,5.6,6.07,3.92,2.16,4.34
Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,Python,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://github.com/Significant-Gravitas/AutoGPT,3.98,4.57,7.78,3.98,0.05,3.98,8.96,0.05,3.98,4.92,2.8,5.29,4.27
microsoft/vscode,microsoft,vscode,TypeScript,Visual Studio Code,https://github.com/microsoft/vscode,3.97,4.38,9.03,3.97,1.01,3.97,6.79,1.01,3.97,5.1,3.08,4.49,4.24
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,Shell,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",https://github.com/ohmyzsh/ohmyzsh,4.04,4.22,7.59,4.04,0.05,4.04,8.24,0.05,4.04,4.81,2.85,4.94,4.16
github/gitignore,github,gitignore,0,A collection of useful .gitignore templates,https://github.com/github/gitignore,3.78,5.12,7.41,3.78,0.03,3.78,8.55,0.03,3.78,4.9,2.65,5.04,4.15
n8n-io/n8n,n8n-io,n8n,TypeScript,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",https://github.com/n8n-io/n8n,3.67,4.43,8.18,3.67,0.12,3.67,8.7,0.12,3.67,4.8,2.61,5.12,4.11
flutter/flutter,flutter,flutter,Dart,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,https://github.com/flutter/flutter,3.84,4.11,7.59,3.84,0.62,3.84,7.81,0.62,3.84,4.67,2.87,4.86,4.09
twbs/bootstrap,twbs,bootstrap,MDX,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap,3.82,5.09,7.95,3.82,0.16,3.82,7.39,0.16,3.82,5.03,2.73,4.51,4.09
ollama/ollama,ollama,ollama,Go,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",https://github.com/ollama/ollama,3.5,3.48,8.89,3.5,0.03,3.5,9.54,0.03,3.5,4.57,2.46,5.48,4.06
avelino/awesome-go,avelino,awesome-go,Go,"A curated list of awesome Go frameworks, libraries and software",https://github.com/avelino/awesome-go,3.56,3.52,8.33,3.56,0.04,3.56,8.9,0.04,3.56,4.5,2.5,5.17,3.97
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,Python,Stable Diffusion web UI,https://github.com/AUTOMATIC1111/stable-diffusion-webui,3.51,3.81,7.9,3.51,0.05,3.51,8.86,0.05,3.51,4.48,2.48,5.15,3.95
huggingface/transformers,huggingface,transformers,Python,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",https://github.com/huggingface/transformers,3.4,3.75,7.85,3.4,0.15,3.4,9.09,0.15,3.4,4.4,2.43,5.27,3.93
Snailclimb/JavaGuide,Snailclimb,JavaGuide,Java,"Java 学习&面试指南（Go、Python 后端面试通用,计算机基础面试总结）。准备后端技术面试，首选 JavaGuide！",https://github.com/Snailclimb/JavaGuide,3.37,4.01,8.35,3.37,0.04,3.37,8.59,0.04,3.37,4.56,2.37,4.98,3.9
trekhleb/javascript-algorithms,trekhleb,javascript-algorithms,JavaScript,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,https://github.com/trekhleb/javascript-algorithms,4.3,4.55,7.95,4.3,0.01,4.3,4.29,0.01,4.3,5.1,3.01,3.0,3.85
airbnb/javascript,airbnb,javascript,JavaScript,JavaScript Style Guide,https://github.com/airbnb/javascript,3.26,3.51,9.08,3.26,0.01,3.26,8.3,0.01,3.26,4.5,2.28,4.81,3.8
ossu/computer-science,ossu,computer-science,HTML,🎓 Path to a free self-taught education in Computer Science!,https://github.com/ossu/computer-science,4.4,4.52,8.68,4.4,0.01,4.4,3.11,0.01,4.4,5.29,3.08,2.43,3.8
CyC2018/CS-Notes,CyC2018,CS-Notes,0,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,https://github.com/CyC2018/CS-Notes,4.03,4.72,8.02,4.03,0.03,4.03,4.47,0.03,4.03,5.04,2.83,3.05,3.77
getify/You-Dont-Know-JS,getify,You-Dont-Know-JS,0,A book series (2 published editions) on the JS language.,https://github.com/getify/You-Dont-Know-JS,4.05,4.38,9.32,4.05,0.01,4.05,3.69,0.01,4.05,5.2,2.84,2.66,3.74
langgenius/dify,langgenius,dify,Python,Production-ready platform for agentic workflow development.,https://github.com/langgenius/dify,2.75,2.9,9.15,2.75,0.06,2.75,9.65,0.06,2.75,4.08,1.94,5.39,3.66
ytdl-org/youtube-dl,ytdl-org,youtube-dl,Python,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,3.07,3.02,9.27,3.07,0.13,3.07,8.05,0.13,3.07,4.29,2.19,4.68,3.65
vercel/next.js,vercel,next.js,JavaScript,The React Framework,https://github.com/vercel/next.js,3.01,3.36,7.57,3.01,0.23,3.01,8.88,0.23,3.01,4.03,2.18,5.11,3.65
rust-lang/rust,rust-lang,rust,Rust,Empowering everyone to build reliable and efficient software.,https://github.com/rust-lang/rust,2.4,2.48,7.55,2.4,2.23,2.4,9.28,2.23,2.4,3.45,2.35,5.79,3.65
yt-dlp/yt-dlp,yt-dlp,yt-dlp,Python,A feature-rich command-line audio/video downloader,https://github.com/yt-dlp/yt-dlp,3.1,3.06,9.03,3.1,0.17,3.1,7.87,0.17,3.1,4.27,2.22,4.6,3.64
golang/go,golang,go,Go,The Go programming language,https://github.com/golang/go,2.9,3.03,9.43,2.9,0.46,2.9,7.89,0.46,2.9,4.24,2.17,4.66,3.62
microsoft/PowerToys,microsoft,PowerToys,C#,Microsoft PowerToys is a collection of utilities that help you customize Windows and streamline everyday tasks,https://github.com/microsoft/PowerToys,2.8,2.71,9.88,2.8,0.06,2.8,8.53,0.06,2.8,4.19,1.98,4.84,3.58
langchain-ai/langchain,langchain-ai,langchain,Python,🦜🔗 The platform for reliable agents.,https://github.com/langchain-ai/langchain,2.72,2.89,7.81,2.72,0.11,2.72,9.73,0.11,2.72,3.79,1.93,5.44,3.55
trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,0,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",https://github.com/trimstray/the-book-of-secret-knowledge,4.43,4.3,7.03,4.43,0.01,4.43,2.03,0.01,4.43,4.91,3.1,1.9,3.53
godotengine/godot,godotengine,godot,C++,Godot Engine – Multi-platform 2D and 3D game engine,https://github.com/godotengine/godot,2.31,2.59,8.58,2.31,0.57,2.31,9.52,0.57,2.31,3.65,1.79,5.39,3.43
nodejs/node,nodejs,node,JavaScript,Node.js JavaScript runtime ✨🐢🚀✨,https://github.com/nodejs/node,2.53,3.0,7.76,2.53,0.32,2.53,8.86,0.32,2.53,3.72,1.87,5.03,3.4
kubernetes/kubernetes,kubernetes,kubernetes,Go,Production-Grade Container Scheduling and Management,https://github.com/kubernetes/kubernetes,2.63,3.25,7.76,2.63,0.95,2.63,7.2,0.95,2.63,3.84,2.13,4.41,3.39
langflow-ai/langflow,langflow-ai,langflow,Python,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,https://github.com/langflow-ai/langflow,3.14,3.04,7.81,3.14,0.12,3.14,6.36,0.12,3.14,4.05,2.24,3.84,3.36
Chalarangelo/30-seconds-of-code,Chalarangelo,30-seconds-of-code,JavaScript,Coding articles to level up your development skills,https://github.com/Chalarangelo/30-seconds-of-code,2.78,2.79,7.74,2.78,0.07,2.78,7.91,0.07,2.78,3.77,1.97,4.53,3.33
ripienaar/free-for-dev,ripienaar,free-for-dev,HTML,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",https://github.com/ripienaar/free-for-dev,2.58,2.6,7.5,2.58,0.05,2.58,9.11,0.05,2.58,3.57,1.82,5.08,3.33
electron/electron,electron,electron,C++,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",https://github.com/electron/electron,2.63,2.75,8.18,2.63,0.21,2.63,7.66,0.21,2.63,3.78,1.91,4.42,3.28
open-webui/open-webui,open-webui,open-webui,Svelte,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",https://github.com/open-webui/open-webui,2.64,2.75,7.31,2.64,0.1,2.64,8.07,0.1,2.64,3.61,1.88,4.6,3.25
facebook/create-react-app,facebook,create-react-app,JavaScript,Set up a modern web app by running one command.,https://github.com/facebook/create-react-app,2.29,2.64,7.95,2.29,0.02,2.29,9.3,0.02,2.29,3.52,1.61,5.11,3.25
denoland/deno,denoland,deno,Rust,A modern runtime for JavaScript and TypeScript.,https://github.com/denoland/deno,2.33,2.24,8.8,2.33,0.1,2.33,8.88,0.1,2.33,3.6,1.66,4.94,3.25
axios/axios,axios,axios,JavaScript,Promise based HTTP client for the browser and node.js,https://github.com/axios/axios,2.39,2.41,7.81,2.39,0.01,2.39,9.11,0.01,2.39,3.48,1.67,5.04,3.24
microsoft/terminal,microsoft,terminal,C++,"The new Windows Terminal and the original Windows console host, all in the same place!",https://github.com/microsoft/terminal,2.23,2.22,9.08,2.23,0.03,2.23,8.94,0.03,2.23,3.6,1.57,4.93,3.22
jlevy/the-art-of-command-line,jlevy,the-art-of-command-line,0,"Master the command line, in one page",https://github.com/jlevy/the-art-of-command-line,3.51,3.5,8.21,3.51,0.01,3.51,3.08,0.01,3.51,4.44,2.46,2.25,3.2
tauri-apps/tauri,tauri-apps,tauri,Rust,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",https://github.com/tauri-apps/tauri,2.22,2.09,8.51,2.22,0.04,2.22,9.32,0.04,2.22,3.44,1.57,5.11,3.2
f/awesome-chatgpt-prompts,f,awesome-chatgpt-prompts,TypeScript,"Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",https://github.com/f/awesome-chatgpt-prompts,3.12,3.23,7.97,3.12,0.03,3.12,4.99,0.03,3.12,4.12,2.19,3.13,3.2
mrdoob/three.js,mrdoob,three.js,JavaScript,JavaScript 3D Library.,https://github.com/mrdoob/three.js,2.42,2.94,7.69,2.42,0.33,2.42,7.47,0.33,2.42,3.63,1.8,4.32,3.16
microsoft/TypeScript,microsoft,TypeScript,TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,https://github.com/microsoft/TypeScript,2.36,2.42,9.41,2.36,0.26,2.36,7.14,0.26,2.36,3.79,1.73,4.12,3.15
iptv-org/iptv,iptv-org,iptv,TypeScript,Collection of publicly available IPTV channels from all over the world,https://github.com/iptv-org/iptv,2.39,2.29,9.74,2.39,0.23,2.39,6.94,0.23,2.39,3.83,1.74,4.02,3.15
ant-design/ant-design,ant-design,ant-design,TypeScript,An enterprise-class UI design language and React UI library,https://github.com/ant-design/ant-design,2.14,3.05,8.94,2.14,0.22,2.14,7.76,0.22,2.14,3.77,1.56,4.38,3.15
facebook/react-native,facebook,react-native,C++,A framework for building native applications using React,https://github.com/facebook/react-native,2.75,3.02,7.17,2.75,0.28,2.75,6.27,0.28,2.75,3.71,2.01,3.77,3.13
jaywcjlove/awesome-mac,jaywcjlove,awesome-mac,JavaScript," Now we have become very big, Different from the original idea. Collect premium software in various categories.",https://github.com/jaywcjlove/awesome-mac,2.14,2.1,7.95,2.14,0.02,2.14,9.42,0.02,2.14,3.29,1.5,5.14,3.13
